branch,input_ng,rt_bin,phospho_sum_mean
woCleanup,20,6.25,292421.4241040647
woCleanup,20,6.75,272341.00711247325
woCleanup,20,7.25,327491.60861864686
woCleanup,20,7.75,257794.06111618876
woCleanup,20,8.25,315316.7586414814
woCleanup,20,8.75,232354.95447319746
woCleanup,20,9.25,329235.43178361654
woCleanup,20,9.75,349941.418741107
woCleanup,20,10.25,195916.3189110756
woCleanup,20,10.75,199717.54413169622
woCleanup,20,11.25,172735.40959733725
woCleanup,20,11.75,203477.60080105066
woCleanup,20,12.25,246295.19190731645
woCleanup,20,12.75,159117.0275453329
woCleanup,20,13.25,147823.24907946587
woCleanup,20,13.75,88962.87697863579
woCleanup,20,14.25,60397.27733147144
woCleanup,20,14.75,8358.060214042664
woCleanup,20,15.25,2153.9378638267517
woCleanup,50,4.25,199179.52203792334
woCleanup,50,4.75,768490.1641921103
woCleanup,50,5.25,826004.1555328965
woCleanup,50,5.75,842953.5944678783
woCleanup,50,6.25,789122.1423547566
woCleanup,50,6.75,946619.3476013839
woCleanup,50,7.25,909144.9542454779
woCleanup,50,7.75,855058.4995237887
woCleanup,50,8.25,788659.3502644598
woCleanup,50,8.75,810598.8965284228
woCleanup,50,9.25,950365.5998845696
woCleanup,50,9.75,1152379.8383083045
woCleanup,50,10.25,650976.294134438
woCleanup,50,10.75,656471.9894146323
woCleanup,50,11.25,614125.8568528593
woCleanup,50,11.75,662925.0870839953
woCleanup,50,12.25,817099.9962021708
woCleanup,50,12.75,483180.3223491907
woCleanup,50,13.25,529806.6343957782
woCleanup,50,13.75,319323.0313526392
woCleanup,50,14.25,182786.83235263824
woCleanup,50,14.75,34656.04578793049
woCleanup,50,15.25,13244.181223392487
woCleanup,100,4.25,511901.87072339654
woCleanup,100,4.75,1830987.901637882
woCleanup,100,5.25,1887421.963324815
woCleanup,100,5.75,2109416.8541859984
woCleanup,100,6.25,1931561.1029435396
woCleanup,100,6.75,2424849.6377589107
woCleanup,100,7.25,2097564.2515369058
woCleanup,100,7.75,1805028.3129096925
woCleanup,100,8.25,1896595.025143683
woCleanup,100,8.75,1840677.7418191135
woCleanup,100,9.25,1785409.628644228
woCleanup,100,9.75,2267358.2524832487
woCleanup,100,10.25,1516783.7338905334
woCleanup,100,10.75,1411032.595400542
woCleanup,100,11.25,1469409.4408687055
woCleanup,100,11.75,1633558.3340950608
woCleanup,100,12.25,1588119.4532640576
woCleanup,100,12.75,1252711.6899401546
woCleanup,100,13.25,1225419.6132845879
woCleanup,100,13.75,791564.6013221145
woCleanup,100,14.25,454146.11649525166
woCleanup,100,14.75,105170.61994820833
woCleanup,100,15.25,36782.972398757935
woCleanup,100,15.75,135.84563446044922
woCleanup,200,4.25,1046987.3900181055
woCleanup,200,4.75,3375243.828228265
woCleanup,200,5.25,4502518.444884628
woCleanup,200,5.75,3965387.7074173987
woCleanup,200,6.25,3907174.33809641
woCleanup,200,6.75,5268295.872621298
woCleanup,200,7.25,4172390.4562923014
woCleanup,200,7.75,4136273.4854204655
woCleanup,200,8.25,3806613.811796963
woCleanup,200,8.75,3689216.2065151036
woCleanup,200,9.25,3519393.9278103113
woCleanup,200,9.75,4732986.803867519
woCleanup,200,10.25,3123869.9931699038
woCleanup,200,10.75,3329612.742638588
woCleanup,200,11.25,3160887.253463745
woCleanup,200,11.75,3294334.470114231
