UniProt	KEGG name
Q9CQF6;Q5U5W8;Q9CU40;Q9D827	Pantothenate and CoA biosynthesis
Q6PDY2;Q3U2E1	Taurine and hypotaurine metabolism
P48962;Q62164	Calcium signaling pathway;Parkinson's disease;Huntington's disease
Q3V132;Q80W28	Calcium signaling pathway;Parkinson's disease;Huntington's disease
Q3UMC0;A2ACU2;A3KG23;A3KG24;Q9CXZ7;Q9Z2K7	Ribosome biogenesis in eukaryotes
Q9QZQ1	Adherens junction;Tight junction;Leukocyte transendothelial migration
Q3UGP8;Q3TLS4	N-Glycan biosynthesis
Q8BXK8;Q3UHA0;Q6ZPX9;Q8BZG0	Endocytosis
Q3UHD9;Q5DU45	Endocytosis
Q9ESW4;Q9D087	Glycerolipid metabolism
Q9CYR6;B2RS40;Q543F9	Amino sugar and nucleotide sugar metabolism
Q3UHD1;Q3UH36;Q8CGM0	p53 signaling pathway
O35423;Q8R128	Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Methane metabolism;Peroxisome
P56473;O35967	Neuroactive ligand-receptor interaction;Adipocytokine signaling pathway
Q3UEG6;B9EIZ8	Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism
P35374	Neuroactive ligand-receptor interaction;Renin-angiotensin system
P29754	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction;Renin-angiotensin system
P29755	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction;Renin-angiotensin system
Q9Z0X1;Q1L6K5	Apoptosis
Q9WVE0	Intestinal immune network for IgA production;Primary immunodeficiency
Q91VJ1	Cytosolic DNA-sensing pathway
Q9JII6;Q9CQI5;Q9CQT8;Q9CT53;Q9D012;Q9D016;Q9D0I7;Q9D0P3	Glycolysis / Gluconeogenesis;Glycerolipid metabolism;Caprolactam degradation
Q9Z0E3;Q9JLW0;Q9JLW1;Q9JLW2;Q9JLW3;Q9JLW4;Q9JLW5;Q9JLW6;Q9JLW7;Q9JLW8;Q9JLW9;Q9JLX0	Ubiquitin mediated proteolysis;Primary immunodeficiency
Q8VCX1	Primary bile acid biosynthesis;Steroid hormone biosynthesis
